,artist.name,artist.hotness,Songs,Year,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,Time
138,Porcupine Tree,0.507965802,Waiting,1997,0.151,0.34798,0.387,0.34798,416.80934,0,0.830252262,6,0.644,37.15735675,Not available,-63.93335787,-7.982,0,0.607,193554,Signify (Special Edition),ARRJTPR11F4C8473CF,0.82517354,396.533,0.69,0.0276,124.04,experimental rock,1,5,0.82,90s
140,Foo Fighters,0.550762085,Hell,2005,0.35,0.58065,0.896,0.16757,117.002,0,0.839275393,7,0.458,37.15735675,"Seattle, WA",-63.93335787,-5.699,1,0.44,440990,In Your Honor,ARE8GLF1187FB52532,,114.712,0.415,0.16757,152.127,grunge,0.953021558,4,0.651,00s
143,Robben Ford,0.383877494,I Got Over It (Album Version),1988,0.368,0.78649,0.382,0.38868,203.98975,0.161,0.604820432,11,0.236,39.15093,"Ukiah, CA",-123.2079,-11.976,0,0.384,762519,Talk To Your Daughter,ARGRDHI1187B9B93F0,0.47212112,182.921,0.732,0.19413,154.322,blues-rock,0.983628765,4,0,80s
146,Soda Stereo,0.466826993,Te Hacen Falta Vitaminas,1984,0,0.14825,0,0.14825,225.12281,0,0.711165787,11,0,37.15735675,Not available,-63.93335787,-3.818,0,0.036,512234,Gira Me VerA!s Volver,ARL3VGT1187FB40E8E,,203.593,0.151,0.14825,175.421,rock,1,1,0,80s
151,Toni Braxton Featuring Shaggy,0.555968804,Christmas In Jamaica,2001,0.047,0.28332,0.669,0.28332,219.01016,0.235,0.737972528,0,0.782,37.15735675,"Severn, MD",-63.93335787,-5.21,1,0.662,281713,Snowflakes,AR30R5E1187B9AD78A,,203.233,0.863,0.0827,149.94,dance pop,0.999854548,4,0.128,00s
152,Perrey And Kingsley,0.350327605,Gossippo Perpetuo,2001,0.477,0.20197,0.868,0.20197,127.9473,0.165,0.530605798,0,0.655,37.15735675,Not available,-63.93335787,-12.717,1,0.525,492999,The Out Sound From Way In!,ARIYWMF1187FB42323,0.444401715,123.222,0.485,0.20197,135.78,easy listening,0.995553751,4,0.087,00s
155,Enthroned,0.395709548,The Vitalized Shell,2010,0.137,0.89888,0.279,0.48245,240.74404,0,0.593416049,2,0.735,50.45663,"Belgica -- Namur, Namur/Ghent, East Flanders",4.87137,-4.878,0,0.838,785362,Pentagrammaton,ARF46X51187B9B7F63,0.543052864,240.744,0.378,0.48245,135.535,black metal,1,7,0.583,10s
156,Suzanne Ciani,0.380704536,Mozart,1989,0.322,0.1659,1,0.1659,192.20853,0.357,0.631946666,2,0.523,37.77916,California - SF,-122.42005,-23.988,1,0.537,298921,Pianissimo,ARBN7GR1187FB531FD,0.608500079,183.229,0.511,0.1659,139.189,meditation,0.920584126,3,0.418,80s
158,Johnny Osbourne,0.409134869,Lend Me Your Chopper,2004,0.031,1.07333,0.541,0.35811,215.30077,0.588,0.618765786,3,0.445,37.15735675,Not available,-63.93335787,-9.741,0,0.496,605167,Auralux Reggae Showcase,ARIRD6J1187FB5A98C,0,208.376,0.315,0.18068,163.445,roots reggae,0.910303408,4,0.015,00s
161,Pearl Jam,0.60797181,Inside Job,2006,0.562,2.24039,0.238,1.67818,428.56444,4.267,0.81444811,4,0.743,47.60356,"Seattle, WA",-122.32944,-8.403,0,0.727,307651,Pearl Jam,ARN5NHX1187FB4F755,0.659304669,414.697,0.069,1.67818,105.994,grunge,0.954857727,3,1,00s
163,Mastodon,0.574274731,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,0.02,0.80159,0.385,0.29973,654.28853,3.048,0.780461749,7,0.539,37.15735675,"Atlanta, GA",-63.93335787,-5.884,0,0.617,538734,Crack The Skye,ARMAC4T1187FB3FA4C,0.626612803,638.462,0.351,0.29973,118.433,alternative metal,0.999863626,4,0.802,00s
166,DJ Quik,0.413393911,Born and Raised In Compton,1991,0.512,0.23293,0.058,0.23293,205.58322,0,0.712098902,7,0.025,37.15735675,Compton CA,-63.93335787,-6.998,0,0.312,528941,The Best of DJ Quik - Da Finale,ARLSGOL1187FB51164,,202.931,0.759,0.23293,181.115,gangster rap,1,4,0.701,90s
169,2-4 Grooves feat. Reki D.,0.426944256,Relax,2009,0.041,1.15739,0.72,0.69791,203.83302,2.067,0.622829997,4,0.648,37.15735675,Not available,-63.93335787,-7.661,0,0.629,763206,Relax,ARP3NG91187B9BA190,,195.117,0.301,0.69791,126.941,vocal house,0.93474553,4,1,00s
171,Descendents,0.476559379,Orgofart,1986,0.37,0.82038,0,0.04246,140.66893,0.078,0.727230316,6,0.006,37.15735675,"Los Angeles, CA",-63.93335787,-28.347,0,0.127,329967,Enjoy!,ARNFTGS1187B9A465F,0.519448582,135.285,0,0.04246,89.495,hardcore punk,0.999743837,4,0.614,80s
172,L.A. Guns,0.456940558,Bitch Is Back,1988,0.085,0.36695,0.463,0.36695,201.09016,0,0.665728336,5,0.608,29.78772,katy,-95.82333,-2.869,0,0.505,71267,A Nite On The Strip - Live,ARYZTJS1187B98C555,,201.09,0.609,0.05221,102.259,heavy metal,0.998509337,3,1,80s
173,Bare Jr.,0.360583582,Naked Albino,1998,0.185,0.7081,0,0.09479,254.79791,0,0.53938059,10,0.647,37.15735675,Not available,-63.93335787,-7.309,1,0.54,282150,Boo-Tay,AR12UD81187B98CB39,0,236.141,0.491,0.09479,107.529,post-grunge,0.96793713,3,1,90s
177,Diesel Boy,0.376688631,Cooler Than You,1998,0.849,0.30566,0.849,0.30566,124.15955,0.38,0.567814264,11,0.724,38.43773,"Santa Rosa, California",-122.71242,-4.793,1,0.583,558289,Venus Envy,ARXTVRP1187FB4B8D4,0.405652196,122.015,0.12,0.10118,133.729,pop rock,0.901868403,1,0.046,90s
179,Cradle Of Filth,0.572583336,Summer Dying Fast,1994,0.192,0.93541,0.616,0.32747,321.35791,0,0.784820389,2,0.341,37.15735675,Not available,-63.93335787,-6.2,0,0.369,179267,Bitter Suites to Succubi,ARLSF8H1187B9A76B0,,312.761,0.114,0.17724,193.693,sympho black metal,0.998098407,4,0.617,90s
184,Nine Inch Nails,0.598458501,The Frail,1999,0.372,0.70514,0.541,0.11379,168.56771,0,0.905776889,7,0.576,41.50471,"Cleveland, OH",-81.69074,-16.968,0,0.621,15567,Things Falling Apart,ARC4K2E1187B9B6FDA,,159.637,0.538,0.11379,130.284,industrial metal,0.999945289,4,0.706,90s
185,Susana Seivane,0.297949266,Para Milladoiro,2010,0.018,0.57605,0.815,0.15761,350.71955,0.519,0.352212817,10,0.881,37.15735675,Not available,-63.93335787,-13.038,1,0.901,789959,Os soA+-os que volven,ARHBYTA1187FB3C812,0,334.17,0.477,0.15761,152.013,gaita,1,4,1,10s
187,Test Icicles,0.373464228,Snowball,2005,0.904,1.65865,0.607,0.20148,190.24934,0,0.682045692,4,0.441,37.15735675,Not available,-63.93335787,-4.172,0,0.326,534031,For Screening Purposes Only,AR4R1FL1187FB55C3B,0.543052864,185.289,0.479,0.20148,75.031,grime,0.86898109,4,1,00s
188,Heaven 17,0.461558452,(We Don't Need This) Fascist Groove Thang,1981,0.021,0.87245,1,0.19248,255.16363,2.67,0.630928608,7,0.473,51.50632,"London, England",-0.12714,-10.756,1,0.505,23134,Endless,ARXQBR11187B98A2CC,,248.337,0.681,0.19248,150.837,new romantic,0.832842044,4,0.466,80s
191,Mance Lipscomb,0.33238987,Going Down Slow,2000,0.383,0.80806,0.383,0.80806,187.53261,0,0.450852685,11,0.681,30.38815,"Navasota, TX",-96.0878,-23.527,1,0.541,237520,Texas Songster,ARIGKCK1187FB5C99B,0.350979506,180.355,0.145,0.40014,97.981,texas blues,1,1,0,00s
